# 词语	拼音	主码	权重	词长	附加词码
用车	yong che	ysie	2561	2	ysieb ysiebk
永城	yong cheng	ysig	231	2	ysigi ysigig
永昌	yong chang	ysih	412	2	ysihi ysihia
用场	yong chang	ysih	315	2	ysihb ysihbg
咏唱	yong chang	ysih	57	2	ysihr ysihrr
泳池	yong chi	ysii	702	2	ysiie ysiiee
永春	yong chun	ysip	380	2	ysipi ysipiq
咏春	yong chun	ysip	196	2	ysipr ysiprq
永春县	yong chun xian	ysipxm	109	3	ysipxmi ysipxmib
永川	yong chuan	ysir	703	2	ysiri ysiril
永川区	yong chuan qu	ysirqu	107	3	ysirqui ysirquis
用处	yong chu	ysiu	852	2	ysiub ysiubh
涌出	yong chu	ysiu	548	2	ysiue ysiueu
用出	yong chu	ysiu	106	2	ysiub ysiubu
涌出来	yong chu lai	ysiull	104	3	ysiulle ysiulled
永垂不朽	yong chui bu xiu	ysivbuxq	123	4	ysivbuxqi ysivbuxqid
用脚	yong jiao	ysjc	268	2	ysjcb ysjcbb
拥挤	yong ji	ysji	1400	2	ysjiq ysjiqq
永济	yong ji	ysji	266	2	ysjii ysjiie
永吉	yong ji	ysji	171	2	ysjii ysjiig
用计	yong ji	ysji	72	2	ysjib ysjibi
永济市	yong ji shi	ysjiui	140	3	ysjiuii ysjiuiiy
用尽	yong jin	ysjn	908	2	ysjnb ysjnbs
佣金	yong jin	ysjn	825	2	ysjno ysjnoc
涌进	yong jin	ysjn	198	2	ysjne ysjney
用劲	yong jin	ysjn	83	2	ysjnb ysjnbn
拥军	yong jun	ysjp	201	2	ysjpq ysjpqb
永久	yong jiu	ysjq	3854	2	ysjqi ysjqin
用旧	yong jiu	ysjq	73	2	ysjqb ysjqbl
永久性	yong jiu xing	ysjqxy	411	3	ysjqxyi ysjqxyip
用具	yong ju	ysju	1045	2	ysjub ysjubb
永嘉	yong jia	ysjw	737	2	ysjwi ysjwig
永嘉县	yong jia xian	ysjwxm	326	3	ysjwxmi ysjwxmib
永结同心	yong jie tong xin	ysjxtsxn	41	4	ysjxtsxni ysjxtsxnip
永靖	yong jing	ysjy	134	2	ysjyi ysjyiy
泳镜	yong jing	ysjy	51	2	ysjye ysjyeo
永康	yong kang	yskh	1286	2	yskhi yskhii
永康市	yong kang shi	yskhui	377	3	yskhuii yskhuiiy
泳裤	yong ku	ysku	104	2	yskue yskuel
用料	yong liao	yslc	687	2	yslcb yslcbf
用量	yong liang	ysld	1458	2	ysldb ysldba
永乐	yong le	ysle	905	2	yslei ysleih
用力	yong li	ysli	3126	2	yslib yslibk
用例	yong li	ysli	219	2	yslib yslibo
永历	yong li	ysli	61	2	yslii ysliim
慵懒	yong lan	yslj	606	2	ysljp ysljpp
用来	yong lai	ysll	6493	2	ysllb ysllbd
涌来	yong lai	ysll	218	2	yslle yslled
庸碌	yong lu	yslu	53	2	yslui ysluim
勇猛	yong meng	ysmg	385	2	ysmgn ysmgnk
泳帽	yong mao	ysmk	54	2	ysmke ysmkel
咏梅	yong mei	ysmz	172	2	ysmzr ysmzrd
用脑	yong nao	ysnk	157	2	ysnkb ysnkbb
永年	yong nian	ysnm	234	2	ysnmi ysnmio
永宁	yong ning	ysny	457	2	ysnyi ysnyij
邕宁	yong ning	ysny	267	2	ysnyv ysnyvj
永宁县	yong ning xian	ysnyxm	102	3	ysnyxmi ysnyxmib
永平	yong ping	yspy	431	2	yspyi yspyim
勇气	yong qi	ysqi	6954	2	ysqin ysqino
涌起	yong qi	ysqi	370	2	ysqie ysqieg
用起来	yong qi lai	ysqill	266	3	ysqillb ysqillbd
用钱	yong qian	ysqm	729	2	ysqmb ysqmbo
涌泉	yong quan	ysqr	229	2	ysqre ysqreh
用去	yong qu	ysqu	566	2	ysqub ysqubg
永清	yong qing	ysqy	335	2	ysqyi ysqyie
用情	yong qing	ysqy	194	2	ysqyb ysqybp
用人	yong ren	ysrf	3010	2	ysrfb ysrfbo
庸人	yong ren	ysrf	232	2	ysrfi ysrfio
佣人	yong ren	ysrf	197	2	ysrfo ysrfoo
永仁	yong ren	ysrf	149	2	ysrfi ysrfio
庸人自扰	yong ren zi rao	ysrfzirk	123	4	ysrfzirki ysrfzirkiq
雍容	yong rong	ysrs	342	2	ysrsy ysrsyj
涌入	yong ru	ysru	668	2	ysrue ysrueo
拥入	yong ru	ysru	138	2	ysruq ysruqo
拥塞	yong se	ysse	87	2	ysseq ysseqj
庸俗	yong su	yssu	528	2	yssui yssuio
用它	yong ta	ysta	931	2	ystab ystabj
咏叹	yong tan	ystj	167	2	ystjr ystjrr
泳坛	yong tan	ystj	60	2	ystje ystjeg
咏叹调	yong tan diao	ystjdc	101	3	ystjdcr ystjdcri
永泰	yong tai	ystl	529	2	ystli ystliq
用途	yong tu	ystu	4207	2	ystub ystuby
勇退	yong tui	ystv	54	2	ystvn ystvny
用手	yong shou	ysub	2189	2	ysubb ysubbq
永寿	yong shou	ysub	133	2	ysubi ysubiq
用手机	yong shou ji	ysubji	1096	3	ysubjib ysubjibd
用什么	yong shen me	ysufme	1886	3	ysufmeb ysufmebh
永生	yong sheng	ysug	909	2	ysugi ysugih
永胜	yong sheng	ysug	297	2	ysugi ysugib
用上	yong shang	ysuh	1024	2	ysuhb ysuhby
涌上	yong shang	ysuh	522	2	ysuhe ysuhey
勇士	yong shi	ysui	3131	2	ysuin ysuinj
用时	yong shi	ysui	795	2	ysuib ysuiba
用事	yong shi	ysui	293	2	ysuib ysuibj
永世	yong shi	ysui	234	2	ysuii ysuiip
用是	yong shi	ysui	89	2	ysuib ysuiba
用膳	yong shan	ysuj	64	2	ysujb ysujbb
永善	yong shan	ysuj	62	2	ysuji ysujit
永顺	yong shun	ysup	448	2	ysupi ysupil
永顺县	yong shun xian	ysupxm	125	3	ysupxmi ysupxmib
用书	yong shu	ysuu	1292	2	ysuub ysuubi
用鼠标	yong shu biao	ysuubc	372	3	ysuubcb ysuubcbd
用水	yong shui	ysuv	1797	2	ysuvb ysuvbe
用水量	yong shui liang	ysuvld	139	3	ysuvldb ysuvldba
永州	yong zhou	ysvb	1140	2	ysvbi ysvbih
永州市	yong zhou shi	ysvbui	155	3	ysvbuii ysvbuiiy
泳装	yong zhuang	ysvd	1164	2	ysvde ysvdel
勇者	yong zhe	ysve	822	2	ysven ysvenj
用着	yong zhe	ysve	397	2	ysveb ysvebt
拥着	yong zhe	ysve	304	2	ysveq ysveqt
雍正	yong zheng	ysvg	467	2	ysvgy ysvgym
用纸	yong zhi	ysvi	519	2	ysvib ysvibv
用之	yong zhi	ysvi	438	2	ysvib ysvibi
永志	yong zhi	ysvi	73	2	ysvii ysviig
用之不竭	yong zhi bu jie	ysvibujx	44	4	ysvibujxb ysvibujxby
臃肿	yong zhong	ysvs	287	2	ysvsb ysvsbb
永驻	yong zhu	ysvu	170	2	ysvui ysvuin
拥吻	yong wen	yswf	186	2	yswfq yswfqr
勇往	yong wang	yswh	390	2	yswhn yswhnh
勇往直前	yong wang zhi qian	yswhviqm	369	4	yswhviqmn yswhviqmnt
用完	yong wan	yswj	849	2	yswjb yswjbj
用武	yong wu	yswu	238	2	yswub yswubm
勇武	yong wu	yswu	71	2	yswun yswunm
永无止境	yong wu zhi jing	yswuvijy	176	4	yswuvijyi yswuvijyig
永无休止	yong wu xiu zhi	yswuxqvi	50	4	yswuxqvii yswuxqviiy
用为	yong wei	yswz	239	2	yswzb yswzbi
涌向	yong xiang	ysxd	231	2	ysxde ysxdeh
涌现	yong xian	ysxm	1070	2	ysxme ysxmem
涌现出	yong xian chu	ysxmiu	310	3	ysxmiue ysxmiueu
用心	yong xin	ysxn	5137	2	ysxnb ysxnbp
永新	yong xin	ysxn	418	2	ysxni ysxniy
用心良苦	yong xin liang ku	ysxnldku	179	4	ysxnldkub ysxnldkubt
永新县	yong xin xian	ysxnxm	100	3	ysxnxmi ysxnxmib
永修	yong xiu	ysxq	91	2	ysxqi ysxqio
永兴	yong xing	ysxy	681	2	ysxyi ysxyif
永兴县	yong xing xian	ysxyxm	100	3	ysxyxmi ysxyxmib
用友	yong you	ysyb	822	2	ysybb ysybbk
用油	yong you	ysyb	245	2	ysybb ysybbe
拥有者	yong you zhe	ysybve	241	3	ysybveq ysybveqj
用以	yong yi	ysyi	910	2	ysyib ysyibv
泳衣	yong yi	ysyi	659	2	ysyie ysyiey
用意	yong yi	ysyi	525	2	ysyib ysyiby
庸医	yong yi	ysyi	92	2	ysyii ysyiis
用药	yong yao	ysyk	3228	2	ysykb ysykbt
永远的	yong yuan de	ysyrde	4604	3	ysyrdei ysyrdeih
永远是	yong yuan shi	ysyrui	2637	3	ysyruii ysyruiia
用用	yong yong	ysys	239	2	ysysb ysysbb
庸庸碌碌	yong yong lu lu	ysyslulu	63	4	ysyslului ysysluluim
永永远远	yong yong yuan yuan	ysysyryr	70	4	ysysyryri ysysyryriy
踊跃	yong yue	ysyt	926	2	ysytr ysytrr
勇于	yong yu	ysyu	1140	2	ysyun ysyunm
用语	yong yu	ysyu	965	2	ysyub ysyubi
用英语	yong ying yu	ysyyyu	398	3	ysyyyub ysyyyubi
用字	yong zi	yszi	405	2	yszib yszibj
用在	yong zai	yszl	1686	2	yszlb yszlbk
永在	yong zai	yszl	112	2	yszli yszlik
用作	yong zuo	yszo	851	2	yszob yszobo
用嘴	yong zui	yszv	208	2	yszvb yszvbr
一天	yi tian	yt	40183	2	ytm ytmm yitm yitmm yitmmm
一条	yi tiao	yt	20478	2	ytm ytmh yitc yitcm yitcmh
一体	yi ti	yt	15205	2	ytm ytmo yiti yitim yitimo
月半	yue ban	ytbj	146	2	ytbjb ytbjbf
月报	yue bao	ytbk	277	2	ytbkb ytbkbq
月白	yue bai	ytbl	93	2	ytblb ytblbh
阅兵	yue bing	ytby	3835	2	ytbyl ytbylo
月饼	yue bing	ytby	3443	2	ytbyb ytbybn
阅兵式	yue bing shi	ytbyui	384	3	ytbyuil ytbyuili
粤菜	yue cai	ytcl	449	2	ytclh ytclht
越大	yue da	ytda	3110	2	ytdag ytdagk
月底	yue di	ytdi	4317	2	ytdib ytdibi
越低	yue di	ytdi	393	2	ytdig ytdigo
约旦	yue dan	ytdj	414	2	ytdjv ytdjva
越多	yue duo	ytdo	6890	2	ytdog ytdogn
越冬	yue dong	ytds	284	2	ytdsg ytdsgh
跃动	yue dong	ytds	135	2	ytdsr ytdsrm
月度	yue du	ytdu	644	2	ytdub ytdubi
阅读器	yue du qi	ytduqi	1162	3	ytduqil ytduqilr
乐队	yue dui	ytdv	5582	2	ytdvh ytdvhn
约定	yue ding	ytdy	5091	2	ytdyv ytdyvj
约定俗成	yue ding su cheng	ytdysuig	98	4	ytdysuigv ytdysuigvi
月儿	yue er	yter	596	2	yterb yterbl
悦耳	yue er	yter	469	2	yterp yterps
越发	yue fa	ytfa	1344	2	ytfag ytfagi
约法	yue fa	ytfa	103	2	ytfav ytfave
岳父	yue fu	ytfu	507	2	ytfuo ytfuoc
乐府	yue fu	ytfu	275	2	ytfuh ytfuhi
岳飞	yue fei	ytfz	465	2	ytfzo ytfzon
月光	yue guang	ytgd	3990	2	ytgdb ytgdbf
月光族	yue guang zu	ytgdzu	340	3	ytgdzub ytgdzuby
乐感	yue gan	ytgj	64	2	ytgjh ytgjhi
越高	yue gao	ytgk	1801	2	ytgkg ytgkgy
约稿	yue gao	ytgk	156	2	ytgkv ytgkvh
越过	yue guo	ytgo	1005	2	ytgog ytgogy
越国	yue guo	ytgo	109	2	ytgog ytgogw
跃过	yue guo	ytgo	68	2	ytgor ytgory
月供	yue gong	ytgs	230	2	ytgsb ytgsbo
月宫	yue gong	ytgs	188	2	ytgsb ytgsbj
月工资	yue gong zi	ytgszi	384	3	ytgszib ytgszibi
月桂	yue gui	ytgv	139	2	ytgvb ytgvbd
越轨	yue gui	ytgv	99	2	ytgvg ytgvgk
约合	yue he	ythe	511	2	ythev ythevo
约翰	yue han	ythj	1760	2	ythjv ythjvj
约翰逊	yue han xun	ythjxp	516	3	ythjxpv ythjxpvy
越好	yue hao	ythk	2471	2	ythkg ythkgv
约好	yue hao	ythk	768	2	ythkv ythkvv
月号	yue hao	ythk	499	2	ythkb ythkbr
粤海	yue hai	ythl	206	2	ythlh ythlhe
月湖	yue hu	ythu	234	2	ythub ythube
约会	yue hui	ythv	3741	2	ythvv ythvvo
越会	yue hui	ythv	153	2	ythvg ythvgo
月华	yue hua	ythw	352	2	ythwb ythwbo
月黑	yue hei	ythz	145	2	ythzb ythzbw
月黑风高	yue hei feng gao	ythzfggk	110	4	ythzfggkb ythzfggkby
月城	yue cheng	ytig	285	2	ytigb ytigbg
越城区	yue cheng qu	ytigqu	118	3	ytigqug ytigqugs
越长	yue chang	ytih	597	2	ytihg ytihgp
岳池	yue chi	ytii	98	2	ytiio ytiioe
月初	yue chu	ytiu	2199	2	ytiub ytiubl
月出	yue chu	ytiu	209	2	ytiub ytiubu
跃出	yue chu	ytiu	132	2	ytiur ytiuru
月季	yue ji	ytji	426	2	ytjib ytjibh
越级	yue ji	ytji	165	2	ytjig ytjigv
月间	yue jian	ytjm	285	2	ytjmb ytjmbl
约见	yue jian	ytjm	243	2	ytjmv ytjmvb
越近	yue jin	ytjn	810	2	ytjng ytjngy
跃进	yue jin	ytjn	507	2	ytjnr ytjnry
月均	yue jun	ytjp	197	2	ytjpb ytjpbg
越军	yue jun	ytjp	125	2	ytjpg ytjpgb
越久	yue jiu	ytjq	217	2	ytjqg ytjqgn
阅卷	yue juan	ytjr	503	2	ytjrl ytjrlf
越剧	yue ju	ytju	364	2	ytjug ytjugs
跃居	yue ju	ytju	234	2	ytjur ytjurs
粤剧	yue ju	ytju	147	2	ytjuh ytjuhs
乐句	yue ju	ytju	59	2	ytjuh ytjuhp
越加	yue jia	ytjw	144	2	ytjwg ytjwgk
岳家	yue jia	ytjw	98	2	ytjwo ytjwoj
越界	yue jie	ytjx	117	2	ytjxg ytjxgw
月结	yue jie	ytjx	78	2	ytjxb ytjxbv
月经	yue jing	ytjy	3338	2	ytjyb ytjybv
越境	yue jing	ytjy	142	2	ytjyg ytjygg
月卡	yue ka	ytka	125	2	ytkab ytkaby
约克	yue ke	ytke	324	2	ytkev ytkevj
约克夏	yue ke xia	ytkexw	643	3	ytkexwv ytkexwvm
月刊	yue kan	ytkj	3825	2	ytkjb ytkjbm
越看	yue kan	ytkj	452	2	ytkjg ytkjgh
月考	yue kao	ytkk	469	2	ytkkb ytkkbj
越快	yue kuai	ytky	630	2	ytkyg ytkygp
月亮	yue liang	ytld	5149	2	ytldb ytldby
阅历	yue li	ytli	710	2	ytlil ytlilm
月历	yue li	ytli	265	2	ytlib ytlibm
乐理	yue li	ytli	160	2	ytlih ytlihm
阅览	yue lan	ytlj	940	2	ytljl ytljll
阅览室	yue lan shi	ytljui	563	3	ytljuil ytljuilj
月老	yue lao	ytlk	212	2	ytlkb ytlkbj
悦来	yue lai	ytll	128	2	ytllp ytllpd
月轮	yue lun	ytlp	50	2	ytlpb ytlpbk
跃龙	yue long	ytls	67	2	ytlsr ytlsri
岳麓	yue lu	ytlu	917	2	ytluo ytluod
岳麓区	yue lu qu	ytluqu	235	3	ytluquo ytluquos
岳麓山	yue lu shan	ytluuj	114	3	ytluujo ytluujou
月龄	yue ling	ytly	169	2	ytlyb ytlyby
月令	yue ling	ytly	55	2	ytlyb ytlybo
跃马	yue ma	ytma	100	2	ytmar ytmarn
乐迷	yue mi	ytmi	276	2	ytmih ytmihy
月面	yue mian	ytmm	60	2	ytmmb ytmmbm
月末	yue mo	ytmo	751	2	ytmob ytmobd
约莫	yue mo	ytmo	117	2	ytmov ytmovt
悦目	yue mu	ytmu	472	2	ytmup ytmupb
岳母	yue mu	ytmu	383	2	ytmuo ytmuow
月明	yue ming	ytmy	365	2	ytmyb ytmyba
越能	yue neng	ytng	195	2	ytngg ytnggi
越南	yue nan	ytnj	3459	2	ytnjg ytnjgj
越南人	yue nan ren	ytnjrf	108	3	ytnjrfg ytnjrfgo
月内	yue nei	ytnz	1725	2	ytnzb ytnzbo
月票	yue piao	ytpc	2299	2	ytpcb ytpcbm
粤拼	yue pin	ytpn	100	2	ytpnh ytpnhq
乐谱	yue pu	ytpu	221	2	ytpuh ytpuhi
乐评	yue ping	ytpy	374	2	ytpyh ytpyhi
月平均	yue ping jun	ytpyjp	237	3	ytpyjpb ytpyjpbg
越强	yue qiang	ytqd	449	2	ytqdg ytqdgn
乐器	yue qi	ytqi	4642	2	ytqih ytqihr
跃起	yue qi	ytqi	218	2	ytqir ytqirg
月前	yue qian	ytqm	4492	2	ytqmb ytqmbt
跃迁	yue qian	ytqm	52	2	ytqmr ytqmry
月琴	yue qin	ytqn	77	2	ytqnb ytqnbm
月球	yue qiu	ytqq	1402	2	ytqqb ytqqbm
月球上	yue qiu shang	ytqquh	111	3	ytqquhb ytqquhby
越权	yue quan	ytqr	83	2	ytqrg ytqrgd
月缺	yue que	ytqt	72	2	ytqtb ytqtbo
乐曲	yue qu	ytqu	871	2	ytquh ytquht
乐清	yue qing	ytqy	1092	2	ytqyh ytqyhe
乐清市	yue qing shi	ytqyui	552	3	ytqyuih ytqyuihy
跃然	yue ran	ytrj	178	2	ytrjr ytrjrb
月入	yue ru	ytru	388	2	ytrub ytrubo
月色	yue se	ytse	846	2	ytseb ytsebn
约瑟	yue se	ytse	85	2	ytsev ytsevm
约瑟夫	yue se fu	ytsefu	214	3	ytsefuv ytsefuvq
月嫂	yue sao	ytsk	1181	2	ytskb ytskbv
岳塘	yue tang	ytth	99	2	yttho ytthog
乐坛	yue tan	yttj	837	2	yttjh yttjhg
约谈	yue tan	yttj	75	2	yttjv yttjvi
月台	yue tai	yttl	139	2	yttlb yttlbi
乐团	yue tuan	yttr	1727	2	yttrh yttrhw
乐手	yue shou	ytub	247	2	ytubh ytubhq
月收入	yue shou ru	ytubru	576	3	ytubrub ytubrubo
越深	yue shen	ytuf	658	2	ytufg ytufge
月神	yue shen	ytuf	175	2	ytufb ytufbi
跃升	yue sheng	ytug	183	2	ytugr ytugrh
乐声	yue sheng	ytug	151	2	ytugh ytughg
跃上	yue shang	ytuh	169	2	ytuhr ytuhry
月上旬	yue shang xun	ytuhxp	505	3	ytuhxpb ytuhxpbp
越是	yue shi	ytui	2522	2	ytuig ytuiga
月食	yue shi	ytui	120	2	ytuib ytuibo
乐师	yue shi	ytui	83	2	ytuih ytuihi
越少	yue shao	ytuk	1347	2	ytukg ytukgf
越说	yue shuo	ytuo	220	2	ytuog ytuogi
约束	yue shu	ytuu	2739	2	ytuuv ytuuvd
约数	yue shu	ytuu	54	2	ytuuv ytuuvf
约束力	yue shu li	ytuuli	201	3	ytuuliv ytuulivk
乐章	yue zhang	ytvh	939	2	ytvhh ytvhhy
约占	yue zhan	ytvj	779	2	ytvjv ytvjvy
越战	yue zhan	ytvj	257	2	ytvjg ytvjgy
月中	yue zhong	ytvs	812	2	ytvsb ytvsbl
越王	yue wang	ytwh	152	2	ytwhg ytwhgm
乐舞	yue wu	ytwu	103	2	ytwuh ytwuho
约为	yue wei	ytwz	1653	2	ytwzv ytwzvi
越位	yue wei	ytwz	253	2	ytwzg ytwzgo
越小	yue xiao	ytxc	673	2	ytxcg ytxcgn
越想	yue xiang	ytxd	671	2	ytxdg ytxdgd
岳西	yue xi	ytxi	227	2	ytxio ytxiom
越西	yue xi	ytxi	92	2	ytxig ytxigm
岳西县	yue xi xian	ytxixm	107	3	ytxixmo ytxixmob
月薪	yue xin	ytxn	2156	2	ytxnb ytxnbt
越秀	yue xiu	ytxq	1832	2	ytxqg ytxqgh
越秀区	yue xiu qu	ytxqqu	545	3	ytxqqug ytxqqugs
月下	yue xia	ytxw	893	2	ytxwb ytxwbm
月牙	yue ya	ytya	433	2	ytyab ytyabm
约有	yue you	ytyb	916	2	ytybv ytybvk
越有	yue you	ytyb	629	2	ytybg ytybgk
越野	yue ye	ytye	3268	2	ytyeg ytyegw
月夜	yue ye	ytye	789	2	ytyeb ytyeby
越野车	yue ye che	ytyeie	1776	3	ytyeieg ytyeiegk
越野赛	yue ye sai	ytyesl	115	3	ytyeslg ytyeslgj
岳阳	yue yang	ytyh	2144	2	ytyho ytyhon
越洋	yue yang	ytyh	119	2	ytyhg ytyhge
岳阳楼	yue yang lou	ytyhlb	200	3	ytyhlbo ytyhlbod
岳阳楼记	yue yang lou ji	ytyhlbji	44	4	ytyhlbjio ytyhlbjioi
岳阳楼区	yue yang lou qu	ytyhlbqu	53	4	ytyhlbquo ytyhlbquos
岳阳市	yue yang shi	ytyhui	209	3	ytyhuio ytyhuioy
乐毅	yue yi	ytyi	71	2	ytyih ytyihy
乐音	yue yin	ytyn	95	2	ytynh ytynhy
越远	yue yuan	ytyr	1094	2	ytyrg ytyrgy
月圆	yue yuan	ytyr	746	2	ytyrb ytyrbw
月月	yue yue	ytyt	763	2	ytytb ytytbb
跃跃欲试	yue yue yu shi	ytytyuui	249	4	ytytyuuir ytytyuuiri
越狱	yue yu	ytyu	2367	2	ytyug ytyugk
粤语	yue yu	ytyu	1956	2	ytyuh ytyuhi
月影	yue ying	ytyy	447	2	ytyyb ytyyba
越走	yue zou	ytzb	505	2	ytzbg ytzbgg
月子	yue zi	ytzi	585	2	ytzib ytzibn
越早	yue zao	ytzk	238	2	ytzkg ytzkga
约在	yue zai	ytzl	333	2	ytzlv ytzlvk
越做	yue zuo	ytzo	231	2	ytzog ytzogo
月租	yue zu	ytzu	939	2	ytzub ytzubh
越俎代庖	yue zu dai pao	ytzudlpk	37	4	ytzudlpkg ytzudlpkgi
也是	ye shi	yu	73193	2	yup yupa yeui yeuip yeuipa
以上	yi shang	yu	56775	2	yuv yuvy yiuh yiuhv yiuhvy
艺术	yi shu	yu	51225	2	yut yuti yiuu yiuut yiuuti
于是	yu shi	yu	22674	2	yum yuma yuui yuuim yuuima
优势	you shi	yu	18282	2	yuo yuoq ybui ybuio ybuioq
意识	yi shi	yu	17758	2	yuy yuyi yiui yiuiy yiuiyi
医生	yi sheng	yu	17159	2	yus yush yiug yiugs yiugsh
一生	yi sheng	yu	16955	2	yum yumh yiug yiugm yiugmh
又是	you shi	yu	14921	2	yun yuna ybui ybuin ybuina
影视	ying shi	yu	14824	2	yua yuai yyui yyuia yyuiai
印刷	yin shua	yu	14776	2	yuh yuhs ynuw ynuwh ynuwhs
有时	you shi	yu	14428	2	yuk yuka ybui ybuik ybuika
一声	yi sheng	yu	13439	2	yum yumg yiug yiugm yiugmg
运输	yun shu	yu	13289	2	yuy yuyk ypuu ypuuy ypuuyk
要是	yao shi	yu	12291	2	yum yuma ykui ykuim ykuima
预案	yu an	yuan	1768	2	yuann yuannj
裕安	yu an	yuan	88	2	yuanl yuanlj
欲罢不能	yu ba bu neng	yubabung	255	4	yubabungc yubabungci
愚笨	yu ben	yubf	146	2	yubfw yubfwh
鹬蚌相争	yu bang xiang zheng	yubhxdvg	46	4	yubhxdvgn yubhxdvgnn
御笔	yu bi	yubi	59	2	yubih yubihh
预报	yu bao	yubk	3562	2	yubkn yubknq
余波	yu bo	yubo	227	2	yuboo yubooe
玉帛	yu bo	yubo	65	2	yubom yubomh
余部	yu bu	yubu	105	2	yubuo yubuoy
语病	yu bing	yuby	55	2	yubyi yubyik
预备	yu bei	yubz	1642	2	yubzn yubznh
渝北	yu bei	yubz	1246	2	yubze yubzel
预备队	yu bei dui	yubzdv	173	3	yubzdvn yubzdvnn
渝北区	yu bei qu	yubzqu	395	3	yubzque yubzques
预备役	yu bei yi	yubzyi	187	3	yubzyin yubzyinh
于此	yu ci	yuci	1507	2	yucim yucimy
与此	yu ci	yuci	1065	2	yuciy yuciyy
遇刺	yu ci	yuci	207	2	yuciy yuciyd
鱼刺	yu ci	yuci	158	2	yucin yucind
余次	yu ci	yuci	107	2	yucio yucioi
语词	yu ci	yuci	85	2	yucii yuciii
御赐	yu ci	yuci	74	2	yucih yucihb
育才	yu cai	yucl	541	2	yucly yuclyd
渔村	yu cun	yucp	294	2	yucpe yucped
预存	yu cun	yucp	142	2	yucpn yucpnk
郁达夫	yu da fu	yudafu	102	3	yudafuk yudafukq
语调	yu diao	yudc	508	2	yudci yudcii
玉雕	yu diao	yudc	188	2	yudcm yudcmb
欲得	yu de	yude	53	2	yudec yudech
与党	yu dang	yudh	80	2	yudhy yudhyf
余地	yu di	yudi	1051	2	yudio yudiog
雨滴	yu di	yudi	537	2	yudim yudime
玉帝	yu di	yudi	327	2	yudim yudimy
遇敌	yu di	yudi	64	2	yudiy yudiyh
御敌	yu di	yudi	59	2	yudih yudihh
于丹	yu dan	yudj	523	2	yudjm yudjmb
御道	yu dao	yudk	74	2	yudkh yudkhy
玉带	yu dai	yudl	206	2	yudlm yudlmt
雨点	yu dian	yudm	498	2	yudmm yudmmy
愚钝	yu dun	yudp	113	2	yudpw yudpwo
鱼肚	yu du	yudu	102	2	yudun yudunb
预订	yu ding	yudy	10143	2	yudyn yudyni
预定	yu ding	yudy	4603	2	yudyn yudynj
余额	yu e	yuee	1642	2	yueeo yueeoj
育儿	yu er	yuer	3068	2	yuery yueryl
鱼儿	yu er	yuer	1405	2	yuern yuernl
鱼饵	yu er	yuer	203	2	yuern yuernn
语法	yu fa	yufa	2544	2	yufai yufaie
愈发	yu fa	yufa	532	2	yufao yufaoi
与否	yu fou	yufb	1423	2	yufby yufbym
鱼粉	yu fen	yuff	185	2	yuffn yuffnf
御风	yu feng	yufg	229	2	yufgh yufghh
玉峰	yu feng	yufg	211	2	yufgm yufgmu
裕丰	yu feng	yufg	103	2	yufgl yufglq
鱼峰	yu feng	yufg	93	2	yufgn yufgnu
预防	yu fang	yufh	9943	2	yufhn yufhnn
预防针	yu fang zhen	yufhvf	166	3	yufhvfn yufhvfno
预防性	yu fang xing	yufhxy	163	3	yufhxyn yufhxynp
玉佛	yu fo	yufo	62	2	yufom yufomo
预付	yu fu	yufu	605	2	yufun yufuno
渔夫	yu fu	yufu	325	2	yufue yufueq
迂腐	yu fu	yufu	124	2	yufuy yufuyi
预付费	yu fu fei	yufufz	108	3	yufufzn yufufznl
预付款	yu fu kuan	yufukr	155	3	yufukrn yufukrng
与非	yu fei	yufz	604	2	yufzy yufzyl
育肥	yu fei	yufz	331	2	yufzy yufzyb
预购	yu gou	yugb	283	2	yugbn yugbnb
鱼钩	yu gou	yugb	96	2	yugbn yugbno
欲购从速	yu gou cong su	yugbcssu	87	4	yugbcssuc yugbcssucy
余光	yu guang	yugd	293	2	yugdo yugdof
余个	yu ge	yuge	357	2	yugeo yugeoo
渔歌	yu ge	yuge	76	2	yugee yugeem
浴缸	yu gang	yugh	1327	2	yughe yugheo
鱼缸	yu gang	yugh	625	2	yughn yughno
渔港	yu gang	yugh	230	2	yughe yughee
预感	yu gan	yugj	787	2	yugjn yugjni
语感	yu gan	yugj	157	2	yugji yugjii
鱼竿	yu gan	yugj	113	2	yugjn yugjnh
鱼干	yu gan	yugj	66	2	yugjn yugjnm
鱼肝油	yu gan you	yugjyb	216	3	yugjybn yugjybne
预告	yu gao	yugk	5076	2	yugkn yugknh
预告片	yu gao pian	yugkpm	1702	3	yugkpmn yugkpmnl
与该	yu gai	yugl	429	2	yugly yuglyi
欲盖弥彰	yu gai mi zhang	yuglmivh	78	4	yuglmivhc yuglmivhcy
雨过	yu guo	yugo	313	2	yugom yugomy
雨果	yu guo	yugo	227	2	yugom yugomw
与国	yu guo	yugo	159	2	yugoy yugoyw
遇过	yu guo	yugo	82	2	yugoy yugoyy
于国	yu guo	yugo	52	2	yugom yugomw
鱼贯	yu guan	yugr	94	2	yugrn yugrnw
与共	yu gong	yugs	310	2	yugsy yugsyt
愚公	yu gong	yugs	201	2	yugsw yugswc
预估	yu gu	yugu	517	2	yugun yuguno
鱼骨	yu gu	yugu	114	2	yugun yugunb
